hq_group,n_trials,error_raw_rt_r,error_raw_rt_p,error_raw_conf_r,error_raw_conf_p,abs_error_rt_r,abs_error_rt_p,abs_error_conf_r,abs_error_conf_p
High HQ,1187,-0.010558465767813965,0.7163088826317653,-0.07987997369192468,0.005894456186894871,-0.0004061774539564217,0.9888465480783376,-0.16098595541856586,2.4470530424160004e-08
Low HQ,919,-0.008911173167188095,0.7873294993801921,0.007601556963526638,0.8179899886415555,-0.0020375599809154925,0.950813962508816,-0.022830318905106135,0.4894087381498247
Overall,2106,-0.005352966145642514,0.806061703617546,-0.04225843051900515,0.052500871336426815,0.0029137746599309728,0.8936892767179593,-0.10416211961716984,1.6651599057844627e-06
