participant,mean_error,std_error,median_error,mean_abs_error,std_abs_error,median_abs_error,mean_confidence,std_confidence,n_trials,flag_absolute,flag_mad,flag_percentile,flagged_any,flagged_all,recommended_exclude,n_trials_total,mean_rt,median_rt,std_rt,n_rt_outliers,rt_outlier_ratio,rt_exclusion_flag
55ac3198fdf99b6de3b68b23,-0.0251848866714806,0.2369086242771666,-0.0595473227673379,0.1957055293466395,0.1334537383740661,0.1572096089478791,3.994085129402985,0.9552854002942436,67,False,False,False,False,False,False,67,2.500044776119403,2.29,0.654797989501824,0,0.0,False
5987030cfd8cca00015cbc26,0.0481428727442093,0.3044211052848193,0.0415700498045678,0.2469951608133646,0.1819543424634347,0.2261742489183839,3.3290809328024693,1.179180251718432,81,False,False,False,False,False,False,81,2.2649592592592596,2.1371,0.6121392674011726,1,0.012345679012345678,False
5a47473899311d0001df550e,0.0273648046132158,0.29251716831324,0.0505670661415547,0.2465498387645232,0.1566654842102949,0.2340733033486526,3.292559523814285,1.0730991192145676,70,False,False,False,False,False,False,70,1.7170885714285715,1.59015,0.3913655863592702,0,0.0,False
5c0ed000fd0c0a0001f881ea,0.0408625854087699,0.2197182477394153,0.0214940947558247,0.1837487209353357,0.125340729902033,0.1481481481481481,4.216049382654321,1.5061630363202945,81,False,False,False,False,False,False,81,1.612059259259259,1.5724,0.3579917033877244,0,0.0,False
5c81582c4c1a61000155584f,0.0228927729630393,0.2699910760249084,-0.0051377286489948,0.2275978069528671,0.144483072117932,0.2326613641173231,3.979378142555556,1.706817495904312,81,False,False,False,False,False,False,81,2.7496666666666667,2.49,0.7830608373555658,3,0.037037037037037035,False
5d1e4a3ed4b9d60001ec8f1c,0.0211726051851646,0.2457972548189168,0.0069444444444444,0.1859986989591089,0.1605433467398941,0.1367941025211064,4.038637402851852,1.4390117372305609,81,False,False,False,False,False,False,81,2.0131851851851854,1.843,0.775650422405466,1,0.012345679012345678,False
5d4434c68225f9001642fcd3,0.035594888024435,0.2737166535996108,0.0815144475823006,0.2232073391110546,0.1601954980015029,0.1884797184086658,4.866392318234568,0.2501298292671181,81,False,False,False,False,False,False,81,1.2853950617283951,1.161,0.4799709803470503,0,0.0,False
5d951ede9b6f880018f63b6e,-0.006160035083092,0.2478481272815382,-0.0220973108146968,0.1934640452568165,0.1529128237070982,0.137722310814696,4.447222222238806,1.3382963887227732,67,False,False,False,False,False,False,67,1.4625522388059702,1.258,0.6749731146964993,1,0.014925373134328358,False
5e38397719e44f0244389781,0.0503830615809194,0.2788060811495866,0.0845833129882812,0.2246419767013032,0.1706244199435126,0.2011728948838895,4.24403261517284,0.7250522009972453,81,False,False,False,False,False,False,81,1.1501555555555556,0.9611,0.4965488855591159,0,0.0,False
5ed02ffb8090240f93ab74ad,0.0435208299392765,0.2495740011103457,0.0399157441070561,0.2065613216279437,0.1446469651965818,0.1832842289252137,4.495016118074074,0.8472695266804189,81,False,False,False,False,False,False,81,1.847488888888889,1.5384,1.383606708389346,2,0.024691358024691357,False
6047b38939f7610352261d47,0.0697593865755252,0.2696648542259952,0.0628296761692122,0.2268984774717651,0.1594272532671182,0.2530276005928283,4.005315500617284,1.4910626361666888,81,False,False,False,False,False,False,81,1.656679012345679,1.457,0.6231342717898065,0,0.0,False
60a40dff42b126e6862a6257,0.0466104950788762,0.241066286759836,0.0049409932393139,0.204379180179469,0.1339115957239025,0.1958966816378063,4.738088705950617,0.7703205634386346,81,False,False,False,False,False,False,81,2.510501234567901,2.015,1.3379618778662776,8,0.09876543209876543,False
60b7afcc714c4aea063e8054,0.0469349571459752,0.2679647429202548,0.0447517256025651,0.2150377850946071,0.1647073390833784,0.1731342967295097,4.393552812037037,1.422962502380418,81,False,False,False,False,False,False,81,1.7234444444444443,1.5921,0.5429970048259934,0,0.0,False
60bf28df4926a8b6391df575,0.036204021345793,0.2954193925001898,0.1048611111111111,0.2462437826751249,0.1645445766018929,0.2044164894817172,4.888374485555556,0.2008239735261542,81,False,False,False,False,False,False,81,1.079174074074074,1.0121,0.2724358501453956,0,0.0,False
60f49d9ac07165744f5f3cf4,0.0211725133156799,0.2402894547202865,0.0046296296296295,0.2018967294515779,0.1297719034827749,0.199074074074074,4.689574759938272,0.8383370581299656,81,False,False,False,False,False,False,81,1.5216185185185185,1.1438,0.840707648667346,1,0.012345679012345678,False
60fc39cce64c39328a7c8904,,,,,,,,,0,False,False,False,False,False,False,0,,,,0,,False
6118df266b78994443b54644,0.0081552077311977,0.272006889184972,0.0606723354965653,0.2271528584921504,0.1473024500667172,0.2162546506467214,3.722543724259259,0.699452703885904,81,False,False,False,False,False,False,81,2.1142086419753086,1.8804,1.0940975133868929,2,0.024691358024691357,False
6130c7f7d0112fa23b17079c,0.0319565160113272,0.2356355829850753,0.0175044066192329,0.1822176442913059,0.1508886924574549,0.1408684538077879,3.6604688747910448,1.5167252802503095,67,False,False,False,False,False,False,67,2.4640194029850746,2.3112,0.782171312367404,2,0.029850746268656716,False
613395d1aa0bf5464cc858ed,0.0040920827269681,0.2459444938163052,0.0186048044739395,0.2108527197247311,0.1241067323181494,0.1941463339531091,4.087791495197531,1.5855569618954075,81,False,False,False,False,False,False,81,2.2288320987654324,2.0045,0.9304150142311708,2,0.024691358024691357,False
616c98c5821cbeeffb348e40,0.0314301540811391,0.2981578542139426,0.0250000423855251,0.2403631032077151,0.1768514706210385,0.2090614466712225,3.530589933469136,0.7994071294919296,81,False,False,False,False,False,False,81,1.593251851851852,1.3099,0.6856022990975,0,0.0,False
636d19c8d8a6c6ef4d37ff41,,,,,,,,,0,False,False,False,False,False,False,0,,,,0,,False
652ae54b698bbd5c18c0c90e,0.0315806399811113,0.2955203947301683,0.017606444011231,0.2401919558927631,0.1726725239182047,0.2348870746938489,4.813625971592593,0.5704217229590779,81,False,False,False,False,False,False,81,2.0783592592592592,1.8836,0.675448220032035,1,0.012345679012345678,False
6671e82cc1fa43aced1c799a,-0.0008869641791876,0.2431614214646469,0.0421929779341025,0.2061732017489407,0.1259437493608781,0.1833333333333333,3.525925925880597,0.5325416558814832,67,False,False,False,False,False,False,67,2.1013626865671644,1.816,0.8888739917916276,3,0.04477611940298507,False
66d749dad04d6166d7928a7f,0.0616861575940785,0.269795108957404,0.0778054806150546,0.2249195765148253,0.1591155942729981,0.1814814814814815,3.4560128028765438,0.8100681148921991,81,False,False,False,False,False,False,81,1.3957814814814815,1.2643,0.48290198904930787,0,0.0,False
673b465c673dad1f5797d29e,0.0345727926307344,0.2974634789006676,0.0104166666666666,0.2435204193166142,0.1718588822821169,0.2400271724176542,4.081790123444445,1.0196199326674775,81,False,False,False,False,False,False,81,1.4319012345679012,1.2393,0.5989712402306615,0,0.0,False
673fc88106d7779a0f39642e,0.044916118080095,0.2793865987615269,0.0283040890452137,0.2219726872750087,0.1735152369362864,0.1594570577187875,4.792043895728395,0.518095763848582,81,False,False,False,False,False,False,81,2.1849654320987657,1.8895,0.9923938686530281,3,0.037037037037037035,False
